Chunk-to-Rect Mapping - 2025-11-29T15:17:21.1192028Z
Atlas 64x64, chunks 8x8, blockBytes=16
chunkRow,chunkCol,chunkPixelX,chunkPixelY,overlappingRectIndices
0,0,0,0,0|2|3|4|9|11
0,1,8,0,0|2|3|4|9|11
0,2,16,0,0|4
0,3,24,0,0|4
0,4,32,0,
0,5,40,0,
0,6,48,0,
0,7,56,0,
1,0,0,8,0|2|3|4|6|9|11
1,1,8,8,0|2|3|4|6|9|11
1,2,16,8,0|4|6
1,3,24,8,0|4|6
1,4,32,8,
1,5,40,8,
1,6,48,8,
1,7,56,8,
2,0,0,16,0|2|6|9|10|11
2,1,8,16,0|2|6|9|10|11
2,2,16,16,0|6
2,3,24,16,0|6
2,4,32,16,1
2,5,40,16,1
2,6,48,16,1
2,7,56,16,1
3,0,0,24,0|2|9|10|11
3,1,8,24,0|2|9|10|11
3,2,16,24,0
3,3,24,24,0
3,4,32,24,1
3,5,40,24,1
3,6,48,24,1
3,7,56,24,1
4,0,0,32,10
4,1,8,32,10
4,2,16,32,
4,3,24,32,
4,4,32,32,1|7
4,5,40,32,1|7
4,6,48,32,1|7
4,7,56,32,1|7
5,0,0,40,10
5,1,8,40,10
5,2,16,40,
5,3,24,40,
5,4,32,40,1|7
5,5,40,40,1|7
5,6,48,40,1|7
5,7,56,40,1|7
6,0,0,48,
6,1,8,48,
6,2,16,48,
6,3,24,48,
6,4,32,48,7|8
6,5,40,48,7|8
6,6,48,48,7|8
6,7,56,48,7|8
7,0,0,56,
7,1,8,56,
7,2,16,56,
7,3,24,56,
7,4,32,56,7|8
7,5,40,56,7|8
7,6,48,56,7|8
7,7,56,56,7|8
